(not) have the luxury of doing,没有做…的余裕
(not) jibe with sth,与STH不一致（疑问/否定常用）
", no more so than sth.",尤其是/比不上STH
[time] ahead of time = [time] in advance ,提前[时间]
"20 pounds' worth of goods 
goods worth 20 pounds ",价值20英镑的货物
"A and B have a lot/sth in common 
A has sth in common with B ",A和B有…共同点
A and B have nothing in common ,A和B没有共同点
"A be composed of B 
A be made up of B 
A comprise B 
A consist of B 
B make up A",A由B组成；B组成A
a cake weighing 1 kilogram,重1千克的蛋糕
a double-edged sword,双刃剑
a drain on my money,钱的耗尽n.
"a great deal of u.n. 
reams of u.n. ",大量（不可数）
"a host of c.n. 
a multitude of c.n. 
a myriad of c.n. = myriads of c.n. ",大量（可数）
A isn't up there with B.,A还远不如B
"a long time ago 
once upon a time ",很久以前
a majority/minority of sth ,…的多数/少数
a matter of opinion,看法因人而异；见仁见智
"a wealth of sth 
a mass of sth = masses of sth ",大量（c.n&u.n）
a wide range/variety of sth ,广泛的
A work well for B.,A对B而言很管用
abide by sth = follow/observe sth ,遵守（规则）
"Above all, 
At the outset, 
First and foremost, ",首要的是
accommodate/adapt to sth,适应STH
"accompany sb 
keep sb company 
keep company with sb ",陪伴SB
accomplish nothing = end up nowhere ,一无所获
"according to sth 
in accordance with sth ",根据STH
account for sth ,解释说明STH；占比
"accuse sb of sth 
charge sb with sth 
sue sb for sth ",指控/起诉SB（罪）
acquaint/familiarize sb with sth,使SB熟悉STH
across the board,全面地
"Actually, 
In fact, 
To be honest, 
To tell the truth, 
As a matter of fact, ",事实上
adapt sb to sth,使SB适应STH
add sb on Wechat ,加微信
add up to sth ,合计达STH
"address A as B 
call A B 
refer to A as B ",把A称为B
adhere/stick to sth ,坚持/恪守STH
admire sb for sth ,因STH佩服/羡慕/欣赏SB
admit sb to spl,准许SB进入SP
advise sb about sth ,向SB提供有关STH的建议
advise sb to do ,建议SB做
against/despite all odds,排除万难
agree to disagree,各自保留意见
"aim at sth/doing 
aim for sth ",瞄准；以STH为目标
"aim to do 
intend to do 
mean to do 
seek to do ",意图/打算做
"align with sth 
be aligned with sth ",与STH对齐/保持一致
All men are created equal.,（主语补足语）
"all of a sudden 
out of the blue ",突然地
"allow sb to do 
license sb to do 
permit sb to do ",允许SB做
amount to sth ,合计达；意味着STH
answer for sth ,承担STH的后果
"anyhow = anyway 
at all costs/events 
in any case/event 
on all accounts 
whatever happens ",无论如何
"Apart from sth, 
Aside from sth, 
In addition to sth, ",除STH之外
